,Spec Id,ItemName - Sleek,ItemName,Invoice,1,2-5,6-10,11-25,26-50,51-75,76-100,101-125,126-150,151-175,176-200
0,SPEC1.01,HP'S/VP'S 20' X 10',10 x 20 Horizontal Poster,--BBHP-10x20,80,70,65,63,61,58,52,48,46,43,42
1,SPEC1.02A,HP'S/VP'S 12' X 16',12 x 16 Vertical Poster Paper,--BBVP-12x16,80,70,65,63,61,58,52,48,46,43,42
2,,22’X10’,,,87,78,72,0,0,0,0,0,0,0,0
3,,24’X10’,,,95,85,78,0,0,0,0,0,0,0,0
4,,28’X10’,,,107,95,88,0,0,0,0,0,0,0,0
5,,30’X10’,,,108,102,94,0,0,0,0,0,0,0,0
6,,32’X10’,,,112,106,97,0,0,0,0,0,0,0,0
7,,35’X10’,,,124,116,107,0,0,0,0,0,0,0,0
8,,40’X10’,,,148,137,127,0,0,0,0,0,0,0,0
9,,44’X10’,,,160,152,140,0,0,0,0,0,0,0,0
10,SPEC1.03,"STREET LEVEL & TRANSIT SHELTERS MXM - 47"" X 68""",TSA 47x68,PT - TSA MXM 47x68,70,48,38,32,26,23,21,0,0,0,0
11,,STREET LEVEL & TRANSIT SHELTERS MXM - 48'' X 72'',,,70,48,38,32,26,23,21,0,0,0,0
12,,"STREET LEVEL & TRANSIT SHELTERS TRANSIT BRISTOL - 47"" X 68"" ",,,70,41,32,28,23,20,19,0,0,0,0
13,,"STREET LEVEL & TRANSIT SHELTERS TRANSIT BRISTOL - 48"" X 72""",,,70,41,32,28,23,20,19,0,0,0,0
14,SPEC001526,"STREET LEVEL & TRANSIT SHELTERS VINYL (REGINA) - 47"" X 68""",TSA 47x68,PT - Transit Shelter Vinyl 47x68,70,70,65,60,53,51,48,0,0,0,0
15,,"STREET LEVEL & TRANSIT SHELTERS VINYL (REGINA) - 48"" X 72""",,,70,70,65,60,53,51,48,0,0,0,0
16,SPEC001576,"STREET LEVEL & TRANSIT SHELTERS VINYL (REGINA) - 41"" X 60""",Other,PT - Transit Shelter Vinyl 41x60,55,55,45,40,36,34,32,0,0,0,0
17,SPEC2.01,"KING POSTERS STYRENE - 139"" X 30""",Transit King Poster,PT - King styrene,90,60,59,54,50,49,47,0,0,0,0
18,,"KING POSTERS STYRENE LAMINATED - 139"" X 30""",,,95,75,68,66,62,60,58,0,0,0,0
19,SPEC2.01A,"KING POSTERS VINYL - 139"" X 30""",Transit King Poster Vinyl,PT - King Vinyl,85,65,63,59,55,53,50,0,0,0,0
20,,"KING POSTERS VINYL LAMINATED - 139"" X 30""",,,100,75,72,69,66,64,62,0,0,0,0
21,SPEC2.03,"SEVENTY POSTERS STYRENE - 70"" X 21""",Transit Seventy Poster,PT - Tail styrene,65,36,29,25,23,21,19,0,0,0,0
22,,"SEVENTY POSTERS STYRENE LAMINATED - 70"" X 21""",,,72,40,33,31,29,26,25,0,0,0,0
23,SPEC2.03A,"SEVENTY POSTERS $21 VINYL - 70"" X 21""",Transit Seventy Poster Vinyl,PT - Tail Vinyl,50,35,28,27,25,24,21,0,0,0,0
24,,"SEVENTY POSTERS VINYL LAMINATED - 70"" X 21""",,,56,40,35,33,31,30,28,0,0,0,0
25,SPEC2.04,"INTERIORS STANDARD CARD STYRENE - 11"" X 35""",Transit Interior Standard,PT - Interiors 35"x11",20,10,7,5,4,3,3,0,0,0,0
26,,"INTERIORS STANDARD CARD VINYL - 11"" X 35""",,,20,12,9,7,5,5,4,0,0,0,0
27,,"INTERIORS SUPER CARD STYRENE - 11"" X 70""",,,30,12,10,8,7,6,5,0,0,0,0
28,,"INTERIORS SUPER CARD VINYL - 11"" X 70""",,,30,16,15,13,12,11,10,0,0,0,0
29,,"BUS HEADLINERS NEW FLYER D40LF - 415"" X 14.5""",,,130,125,119,110,99,96,93,0,0,0,0
30,,"BUS HEADLINERS NEW FLYER D40LF - NO LAM - 415"" X 14.5""",,,120,110,102,88,84,82,79,0,0,0,0
31,,"BUS HEADLINERS 415"" X 10""",,,120,115,105,98,93,89,87,0,0,0,0
32,,"BUS HEADLINERS NO LAMINATE - 415"" X 10""",,,110,100,95,90,75,72,68,0,0,0,0
33,,BUS MURALS DRIVER SIDE - ORION VII - 16' X 8',,,850,825,750,740,685,670,0,0,0,0,0
34,,BUS MURALS CURB SIDE - 12' X 8',,,725,710,675,650,610,600,0,0,0,0,0
35,,"SUPER MURAL DRIVER SIDE - BURLINGTON - 202"" X 101""",,,910,880,835,820,790,775,0,0,0,0,0
36,,HEADLINERS NOVA - 325” X 12.5”,,,120,115,105,98,93,0,0,0,0,0,0
37,,HEADLINERS NOVA NO LAM - 325” X 12.5”,,,110,100,95,90,75,0,0,0,0,0,0
38,,KONG 3M-180-10 WITH LAM - 201” X 36”,,,295,283,273,268,263,0,0,0,0,0,0
39,,"HEADLINERS  475"" X 14.5""",,,133,132,125,112,105,0,0,0,0,0,0
40,,"HEADLINERS - CLRV SPEC 6.02E - 420"" X 14.5""",,,120,116,110,98,92,0,0,0,0,0,0
41,,"HEADLINERS - ALRV SPEC 6.02C - 336"" X 14.5""",,,115,100,95,90,81,0,0,0,0,0,0
42,,"HALF TAIL LAM - 77.5"" X 34.5""",,,160,145,135,130,115,110,105,0,0,0,0
43,,"HALF TAIL LAM - 75"" X 34"" ",,,160,145,135,130,115,110,105,0,0,0,0
44,,"HALF TAIL LAM - 77.5"" X 33""",,,160,145,135,130,115,110,105,0,0,0,0
45,,"LRT 28 3500C - 20"" X 27""",,,50,23,18,15,13,11,10,0,0,0,0
46,,"LRT 28 20PT CARDSTOCK - 20"" X 27""",,,50,17,14,9,8,7,6,0,0,0,0
47,,"LRT STATION POSTERS MXM - 42"" X 58""",,,70,42,32,26,24,21,20,0,0,0,0
48,,"LRT STATION POSTERS MXM - 47"" X 68""",,,70,48,38,32,26,23,21,0,0,0,0
49,,"BC FERRIES VISTA POSTERS MXM - 23.5"" X 35.75""",,,34,24,20,18,17,16,14,0,0,0,0
